id,category,product_id,id.1,quantity,product_id.1,fs_receipt_id,created_date,last_modified_date,created_by,last_modified_by,discount_id
1,drinks/non-alcoholic,1,1,1.0,1,1,,,,,
2,home/maintenence,1,1,1.0,1,1,,,,,
3,drinks/mineral-water,1,1,1.0,1,1,,,,,
4,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
5,dairy/joghurts,2,2,6.0,2,1,,,,,
6,fruits-veg/vegetable,2,2,6.0,2,1,,,,,
262,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
263,dairy/joghurts,2,2,6.0,2,1,,,,,
264,eating,2,2,6.0,2,1,,,,,
367,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
368,dairy/joghurts,2,2,6.0,2,1,,,,,
369,eating,2,2,6.0,2,1,,,,,
937,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
938,dairy/joghurts,2,2,6.0,2,1,,,,,
939,eating,2,2,6.0,2,1,,,,,
1003,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
1004,dairy/joghurts,2,2,6.0,2,1,,,,,
1005,eating,2,2,6.0,2,1,,,,,
1369,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
1370,dairy/joghurts,2,2,6.0,2,1,,,,,
1371,eating,2,2,6.0,2,1,,,,,
1435,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
1436,dairy/joghurts,2,2,6.0,2,1,,,,,
1437,eating,2,2,6.0,2,1,,,,,
1501,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
1502,dairy/joghurts,2,2,6.0,2,1,,,,,
1503,eating,2,2,6.0,2,1,,,,,
1567,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
1568,dairy/joghurts,2,2,6.0,2,1,,,,,
1569,eating,2,2,6.0,2,1,,,,,
1633,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
1634,dairy/joghurts,2,2,6.0,2,1,,,,,
1635,eating,2,2,6.0,2,1,,,,,
1699,drinks/non-alcoholic,2,2,6.0,2,1,,,,,
1700,dairy/joghurts,2,2,6.0,2,1,,,,,
1701,eating,2,2,6.0,2,1,,,,,
7,drinks/non-alcoholic,3,3,1.0,3,1,,,,,
8,drinks/mineral-water,3,3,1.0,3,1,,,,,
9,home/accessories,3,3,1.0,3,1,,,,,
10,drinks/mineral-water,4,4,1.0,4,1,,,,,
